m_prefab,localScale.x,localScale.y,localScale.z,m_biome,m_biomeArea,m_blockCheck,m_chanceToUseGroundTilt,m_enable,m_foldout,m_forcePlacement,m_forestTresholdMax,m_forestTresholdMin,m_groundOffset,m_groupRadius,m_groupSizeMax,m_groupSizeMin,m_inForest,m_min,m_max,m_minAltitude,m_maxAltitude,m_minOceanDepth,m_maxOceanDepth,m_maxTerrainDelta,m_maxTilt,m_minVegetation,m_maxVegetation,m_minTerrainDelta,m_minTilt,m_randTilt,m_scaleMax,m_scaleMin,m_snapToStaticSolid,m_snapToWater,m_terrainDeltaRadius
rock2_mountain,1,1,1,Mountain,6,TRUE,0,TRUE,FALSE,FALSE,1,0,-5,0,1,1,FALSE,5,8,-1000,1000,0,0,2,80,0,0,0,30,0,1.5,1,FALSE,FALSE,0
Rock_4,2,2,2,Swamp,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,0,20,-1000,1000,0,0,2,90,0,0,0,0,0,2,1,FALSE,FALSE,0
mudpile_beacon,1,1,1,Swamp,7,TRUE,0,TRUE,FALSE,FALSE,1,0,-3,0,1,1,FALSE,0,5,0.5,1000,0,0,2,90,0,0,0,0,0,2,1,FALSE,FALSE,0
Rock_4,2,2,2,5,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,10,40,-10,1000,0,0,2,90,0,0,0,0,0,2,1,FALSE,FALSE,0
Rock_4_plains,2,2,2,Plains,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,5,30,-10,1000,0,0,2,90,0,0,0,0,0,2,1,FALSE,FALSE,0
Rock_3,2,2,2,5,7,TRUE,1,TRUE,FALSE,FALSE,1,0,-0.5,0,1,1,FALSE,0,15,-1000,1000,0,0,2,90,0,0,0,0,0,4,2,FALSE,FALSE,0
rock4_forest,1,1,1,BlackForest,7,TRUE,0,TRUE,FALSE,FALSE,1,0,-2,0,1,1,FALSE,1,2,4,1000,0,0,2,45,0,0,0,5,5,1,0.8,FALSE,FALSE,0
rock4_copper,1,1,1,BlackForest,7,TRUE,0,TRUE,FALSE,FALSE,1,0,-2,0,1,1,FALSE,0,1,4,1000,0,0,2,45,0,0,0,5,5,1,1,FALSE,FALSE,0
MineRock_Tin,1,1,1,BlackForest,7,TRUE,1,TRUE,FALSE,FALSE,1,0,-0.5,0,1,1,FALSE,20,20,-0.6,1.5,0,0,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
Rock_4,2,2,2,BlackForest,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,20,20,-1000,1000,0,0,2,45,0,0,0,0,0,3,1,FALSE,FALSE,0
Rock_4,2,2,2,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,20,20,0,1000,0,0,2,45,0,0,0,0,0,3,1,FALSE,FALSE,0
Rock_3,2,2,2,BlackForest,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,5,15,-1000,1000,0,0,2,25,0,0,0,0,0,6,3,FALSE,FALSE,0
Rock_3,2,2,2,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,5,15,0,1000,0,0,2,25,0,0,0,0,0,6,3,FALSE,FALSE,0
vfx_swamp_mist,1,1,1,Swamp,7,TRUE,0,TRUE,FALSE,FALSE,1.1,0,0,0,1,1,FALSE,10,10,-5,5,0,0,2,90,0,0,0,0,0,1,1,FALSE,TRUE,0
Crow,1,1,1,Swamp,7,TRUE,0,FALSE,FALSE,FALSE,1.1,0,15,0,1,1,FALSE,0,3,-5,5,0,0,2,90,0,0,0,0,0,1,1,FALSE,TRUE,0
vfx_ocean_clouds,1,1,1,384,7,TRUE,0,FALSE,FALSE,FALSE,1.1,0,0,0,1,1,FALSE,2,2,-100,5,0,0,2,90,0,0,0,0,0,1,1,FALSE,TRUE,0
vfx_edge_clouds,1,1,1,128,7,TRUE,0,TRUE,TRUE,FALSE,1.1,0,0,0,1,1,FALSE,1,1,-1000,0,0,0,2,90,0,0,0,0,0,1,1,FALSE,TRUE,0
Beech1,1,1,1,Meadows,7,TRUE,0.1,TRUE,FALSE,FALSE,1.15,0,0,0,1,1,TRUE,40,40,0.2,1000,0,2,2,30,0,0,0,0,4,1.5,0.8,FALSE,FALSE,0
Birch1,1,1,1,Meadows,7,TRUE,0.05,TRUE,FALSE,FALSE,1.15,0,0,0,1,1,TRUE,5,5,0.2,1000,0,2,2,30,0,0,0,0,4,1,0.5,FALSE,FALSE,0
Birch1_aut,1,1,1,Plains,7,TRUE,0,TRUE,FALSE,FALSE,0.8,0,0,0,1,1,TRUE,30,30,0.1,1000,0,0,2,30,0,0,0,0,4,1,0.5,FALSE,FALSE,0
Birch2,1,1,1,Meadows,7,TRUE,0.05,TRUE,FALSE,FALSE,1.15,0,0,0,1,1,TRUE,0,3,0.2,1000,0,2,2,30,0,0,0,0,4,1,0.5,FALSE,FALSE,0
Oak1,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,3,1,0,0,1,1,TRUE,0,1,0.5,1000,0,2,2,20,0,0,0,0,4,1,0.8,FALSE,FALSE,0
Birch2_aut,1,1,1,Plains,7,TRUE,0,TRUE,FALSE,FALSE,0.8,0,0,0,1,1,TRUE,10,10,0.1,1000,0,0,2,30,0,0,0,0,4,1.5,1,FALSE,FALSE,0
FirTree,1,1,1,BlackForest,7,TRUE,0,TRUE,FALSE,FALSE,1.1,0,0,0,1,1,FALSE,5,5,0.1,1000,0,2,2,30,0,0,0,0,4,2.5,2,FALSE,FALSE,0
FirTree,1,1,1,BlackForest,Edge,TRUE,0,TRUE,FALSE,FALSE,1.1,0,0,0,1,1,FALSE,40,40,0.1,1000,0,2,2,30,0,0,0,0,4,2.5,2,FALSE,FALSE,0
Pinetree_01,1,1,1,BlackForest,6,TRUE,0.05,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,60,60,0.1,1000,0,1.5,2,30,0,0,0,0,4,2.5,1,FALSE,FALSE,0
Pinetree_01,1,1,1,Mistlands,6,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,5,5,0.1,1000,0,0,2,30,0,0,0,0,4,2.5,2,FALSE,FALSE,0
acacitree,1,1,1,None,7,TRUE,0,FALSE,FALSE,FALSE,1.1,0,0,0,1,1,TRUE,10,20,2,1000,0,0,2,20,0,0,0,0,0,2,1,FALSE,FALSE,0
Beech_small1,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,1.15,1.1,0,0,1,1,TRUE,100,100,1,1000,0,0,2,30,0,0,0,0,10,1.5,1,FALSE,FALSE,0
Beech_small2,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,1.15,1.1,0,0,1,1,TRUE,100,100,1,1000,0,0,2,30,0,0,0,0,10,2,1,FALSE,FALSE,0
Beech_small1,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,TRUE,80,80,1,1000,0,0,2,30,0,0,0,0,10,1.5,1,FALSE,FALSE,0
Beech_small2,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,TRUE,80,80,1,1000,0,0,2,30,0,0,0,0,10,2,1,FALSE,FALSE,0
Bush02_en,1,1,1,Plains,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,15,20,8,FALSE,1,3,1,1000,0,0,2,30,0,0,0,0,0,1.5,0.5,FALSE,FALSE,0
CloudberryBush,1,1,1,Plains,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,6,20,15,FALSE,1,3,2,50,0,0,2,30,0,0,0,0,0,1,1,FALSE,FALSE,0
FirTree_small_dead,1,1,1,Swamp,7,TRUE,0.2,TRUE,FALSE,FALSE,1.2,1.1,0,0,1,1,FALSE,60,60,0.5,1000,0,0,2,25,0,0,0,0,5,0.8,0.3,FALSE,FALSE,0
SwampTree1,1,1,1,Swamp,7,TRUE,0.2,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,40,40,-0.5,1000,0,2,2,30,0,0,0,0,10,1.3,0.7,FALSE,FALSE,0
SwampTree2,1.5,1.5,1.5,Swamp,7,TRUE,0.1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,10,20,-0.5,1000,0,2,2,35,0,0,0,0,5,2,1.5,FALSE,FALSE,0
SwampTree2_log,2,2,2,Swamp,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,1,3,-0.5,1000,0,2,2,35,0,0,0,0,20,2,1.5,FALSE,FALSE,0
Flies,1,1,1,Swamp,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,20,20,0,1000,0,0,2,25,0,0,0,0,0,1.5,0.5,FALSE,FALSE,0
FirTree_small,0.5,0.5,0.5,BlackForest,7,TRUE,0,TRUE,FALSE,FALSE,1.15,1.05,0,0,1,1,FALSE,30,30,0.5,1000,0,0,2,30,0,0,0,0,0,0.7,0.3,FALSE,FALSE,0
FirTree_small,0.5,0.5,0.5,Mountain,7,TRUE,0,TRUE,FALSE,FALSE,1.15,1.05,0,0,1,1,FALSE,30,30,0,280,0,0,2,30,0,0,0,0,0,0.7,0.3,FALSE,FALSE,0
FirTree_small_dead,1,1,1,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1.15,1.05,0,0,1,1,FALSE,30,30,0,1000,0,0,2,30,0,0,0,0,0,0.7,0.3,FALSE,FALSE,0
vertical_web,1,1,1,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1.15,1.05,0,0,1,1,FALSE,10,10,0,1000,0,0,2,30,0,0,0,0,20,1.2,0.8,FALSE,FALSE,0
horizontal_web,1,1,1,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1.15,1.05,30,0,1,1,FALSE,10,10,0,1000,0,0,2,30,0,0,0,0,20,1.2,0.8,FALSE,FALSE,0
tunnel_web,1,1,1,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1.15,1.05,0,0,1,1,FALSE,5,5,0,1000,0,0,2,30,0,0,0,0,10,1,0.8,FALSE,FALSE,0
FirTree_small,0.5,0.5,0.5,BlackForest,Edge,TRUE,0,TRUE,FALSE,FALSE,1.15,1.05,0,0,1,1,FALSE,60,60,0.5,1000,0,0,2,30,0,0,0,0,0,0.7,0.3,FALSE,FALSE,0
FirTree_oldLog,1,1,1,BlackForest,7,TRUE,1,TRUE,FALSE,FALSE,1.15,1.05,0,0,1,1,FALSE,6,6,0,1000,0,0,2,25,0,0,0,0,0,1.3,0.9,FALSE,FALSE,0
stubbe,1,1,1,Meadows,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,1,3,0,1000,0,2,2,20,0,0,0,0,0,1.2,0.8,FALSE,FALSE,0
stubbe,1,1,1,Swamp,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,4,4,0,1000,0,2,2,20,0,0,0,0,0,2,1,FALSE,FALSE,0
StatueEvil,1,1,1,Swamp,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,2,2,0,1000,0,0,2,20,0,0,0,0,0,1,1,FALSE,FALSE,0
FirTree_oldLog,1,1,1,Meadows,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,1,4,-1000,1000,0,0,2,20,0,0,0,0,0,1.2,1,FALSE,FALSE,0
FirTree_oldLog,1,1,1,Swamp,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,6,6,-1,1000,0,0,2,20,0,0,0,0,0,1.2,1,FALSE,FALSE,0
stubbe,1,1,1,BlackForest,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,15,15,0,1000,0,2,2,20,0,0,0,0,0,1.4,0.8,FALSE,FALSE,0
stubbe,1,1,1,Mistlands,7,TRUE,1,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,15,15,0,1000,0,0,2,20,0,0,0,0,0,1.4,0.8,FALSE,FALSE,0
Bush01,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,1.15,1,0,0,1,1,TRUE,60,80,1,1000,0,0,2,90,0,0,0,0,0,1.5,1,FALSE,FALSE,0
Bush01_heath,1,1,1,Plains,7,TRUE,0,TRUE,FALSE,FALSE,1.15,1,0,0,1,1,TRUE,60,80,0,1000,0,0,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
shrub_2,1,1,1,Meadows,7,TRUE,0,FALSE,FALSE,FALSE,1.15,1,0,0,1,1,TRUE,20,20,-1000,1000,0,0,2,90,0,0,0,0,0,2,1.5,FALSE,FALSE,0
shrub_2_heath,1,1,1,Plains,7,TRUE,0,TRUE,FALSE,FALSE,1.15,1,0,0,1,1,TRUE,20,20,0,1000,0,0,2,90,0,0,0,0,0,1,0.5,FALSE,FALSE,0
shrub_2_heath,1,1,1,Swamp,7,TRUE,0,TRUE,FALSE,FALSE,1.15,1,0,0,1,1,FALSE,20,20,0,1000,0,2,2,90,0,0,0,0,0,1,0.5,FALSE,FALSE,0
Pickable_Thistle,1,1,1,10,Median,TRUE,0,TRUE,FALSE,FALSE,1.15,1,0,4,5,2,FALSE,1,2,0,1000,0,0,2,20,0,0,0,0,20,1,0.5,FALSE,FALSE,0
shrub_2,1,1,1,BlackForest,7,TRUE,0,TRUE,FALSE,FALSE,1.1,1,0,0,1,1,FALSE,100,100,1,1000,0,0,2,90,0,0,0,0,0,1,0.5,FALSE,FALSE,0
BlueberryBush,1,1,1,BlackForest,Median,TRUE,0,TRUE,FALSE,FALSE,1.1,1,0,8,8,1,FALSE,1,1,1,1000,0,2,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
RaspberryBush,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,1.2,1,0,8,8,3,TRUE,1,2,1,1000,0,0,2,45,0,0,0,0,0,1,1,FALSE,FALSE,0
Pickable_Mushroom,1,1,1,11,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,5,6,3,TRUE,1,2,1,1000,0,2,2,25,0,0,0,0,0,1.5,1,FALSE,FALSE,0
Pickable_Dandelion,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,5,1.1,0,3,3,1,FALSE,8,10,1,1000,0,0,2,15,0,0,0,0,0,1,1,FALSE,FALSE,0
ormbunke_green_medium,1,1,1,Meadows,7,TRUE,0,FALSE,FALSE,FALSE,0.9,0,0,0,1,1,TRUE,0,10,-1000,1000,0,0,2,90,0,0,0,0,0,1,0.75,FALSE,FALSE,0
Waystone,1,1,1,17,7,TRUE,0,FALSE,FALSE,FALSE,4,1.1,0,0,1,1,TRUE,0,0.2,-1000,1000,0,0,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
Pickable_Flint,1,1,1,Meadows,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,30,30,-2,1,0,0,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
Pickable_Tin,1,1,1,BlackForest,7,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,30,30,-1000,1000,0,0,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
Pickable_Branch,1,1,1,11,7,TRUE,1,TRUE,FALSE,FALSE,1.1,0,0,0,1,1,TRUE,15,15,0,1000,0,0,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
HugeStone1,1,1,1,Plains,7,TRUE,0,FALSE,FALSE,FALSE,1.1,0,0,0,1,1,FALSE,0,1,-2,1000,0,0,2,45,0,0,0,0,0,1,1,FALSE,FALSE,0
rockformation1,1,1,1,Plains,7,TRUE,0,FALSE,FALSE,FALSE,1.1,0,0,0,1,1,FALSE,0,0.2,-10,1000,0,0,2,45,0,0,0,0,0,1,0.5,FALSE,FALSE,0
rock_a,1,1,1,Plains,7,TRUE,0,FALSE,FALSE,FALSE,1.1,0,0,0,1,1,FALSE,2,4,-2,1000,0,0,2,45,0,0,0,0,0,4,2,FALSE,FALSE,0
Pickable_BogIronOre,1,1,1,Swamp,6,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,5,5,-2,1,0,0,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
Pickable_Stone,1,1,1,27,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,2,3,2,FALSE,30,30,0,1000,0,0,2,90,0,0,0,22,0,1,1,FALSE,FALSE,0
Pickable_Stone,1,1,1,3,7,TRUE,1,TRUE,FALSE,FALSE,1,0,0,1,1,1,FALSE,5,5,-3,1000,0,0,2,90,0,0,0,0,0,1,1,FALSE,FALSE,0
FirTree,1,1,1,Mountain,7,TRUE,0,TRUE,FALSE,FALSE,1.15,0,0,0,1,1,FALSE,5,20,2,280,0,0,2,30,0,0,0,0,0,3,1.5,FALSE,FALSE,0
ice1,1,1,1,DeepNorth,7,TRUE,0,TRUE,FALSE,FALSE,1,0,0,0,1,1,TRUE,10,20,-1000,-1,0,0,2,90,0,0,0,0,0,1,1,FALSE,TRUE,0
ice_rock1,1,1,1,DeepNorth,7,TRUE,0,TRUE,FALSE,FALSE,1,0,-2,0,1,1,FALSE,0,1,-1000,-1,0,0,2,90,0,0,0,0,0,1,1,FALSE,TRUE,0
Skull1,1,1,1,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,20,20,1,1000,0,0,2,45,0,0,0,0,10,1,1,FALSE,FALSE,0
Skull2,1,1,1,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,0,3,1,1000,0,0,2,45,0,0,0,0,5,1.2,0.8,FALSE,FALSE,0
GlowingMushroom,1,1,1,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,15,15,-1000,1000,0,0,2,90,0,0,0,0,5,1,1,FALSE,FALSE,0
MineRock_Obsidian,1,1,1,Mountain,Everything,TRUE,1,TRUE,FALSE,FALSE,1,0,0,1,1,1,FALSE,10,15,100,1000,0,0,2,90,0,0,0,0,0,1,0.9,FALSE,FALSE,0
Pickable_SeedTurnip,1,1,1,Swamp,Everything,TRUE,0,TRUE,TRUE,FALSE,1,0,0,5,2,1,FALSE,0,0.5,0,1000,0,0,2,25,0,0,0,0,0,1.5,1,FALSE,FALSE,0
Pickable_SeedCarrot,1,1,1,BlackForest,Everything,TRUE,0,TRUE,FALSE,FALSE,1,0,0,5,2,1,FALSE,0,0.5,1,1000,0,0,2,25,0,0,0,0,0,1.5,1,FALSE,FALSE,0
Pickable_Barley,1,1,1,Plains,Everything,TRUE,0,FALSE,FALSE,FALSE,1,0,0,5,3,2,FALSE,0,2,2,1000,0,0,2,25,0,0,0,0,0,1.5,1,FALSE,FALSE,0
Leviathan,1,1,1,Ocean,Median,TRUE,0,TRUE,TRUE,FALSE,1,0,0,0,1,1,FALSE,0,0.01,-1000,-30,0,0,2,90,0,0,0,0,0,1,1,FALSE,TRUE,0
MistArea,1,1,1,Mistlands,Median,FALSE,0,TRUE,TRUE,TRUE,1.15,0,0,0,1,1,TRUE,1,1,1,1000,0,0,0,99,0.1,1,0,0,0,1,1,FALSE,FALSE,0
MistArea_edge,1,1,1,Mistlands,Edge,FALSE,0,TRUE,FALSE,TRUE,1,0,0,0,1,1,FALSE,1,1,1,1000,0,0,0,99,0.1,1,0,0,0,1,1,FALSE,FALSE,0
cliff_mistlands1,1,1,1,Mistlands,Everything,FALSE,1,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,8,8,1,1000,0,0,55,50,0,0.1,4,25,0,1.2,0.6,FALSE,FALSE,4
cliff_mistlands2,1,1,1,Mistlands,Everything,FALSE,0,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,50,50,1,1000,0,0,55,99,0,0.1,3,0,15,1,0.5,FALSE,FALSE,4
rock_mistlands1,1,1,1,Mistlands,Everything,TRUE,0.2,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,20,20,0,1000,0,0,4,30,0,0.1,0,0,15,3,1,FALSE,FALSE,2
rock_mistlands2,1,1,1,Mistlands,Everything,TRUE,1,FALSE,FALSE,FALSE,0,0,0,0,1,1,FALSE,50,50,0,1000,0,0,2,20,0.1,1,0,0,0,1.2,0.8,FALSE,FALSE,4
giant_skull,1,1,1,Mistlands,Everything,TRUE,0,FALSE,FALSE,FALSE,0,0,0,0,1,1,FALSE,1,2,1,1000,0,0,2,20,0.1,1,0,0,33,1,1,FALSE,FALSE,5
giant_helmet1,1,1,1,Mistlands,Median,TRUE,0,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,1,2,1,1000,0,0,3,30,0,0,0,0,33,1,1,FALSE,FALSE,5
giant_helmet2,1,1,1,Mistlands,Median,TRUE,0,TRUE,FALSE,FALSE,0,0,-1,0,1,1,FALSE,1,2,1,1000,0,0,3,30,0,0,0,0,33,1,1,FALSE,FALSE,5
giant_sword1,1,1,1,Mistlands,Median,TRUE,0,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,1,2,1,1000,0,0,3,30,0,0,0,0,60,1,1,FALSE,FALSE,5
giant_sword2,1,1,1,Mistlands,Median,TRUE,0,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,1,2,1,1000,0,0,3,30,0,0,0,0,60,1,1,FALSE,FALSE,5
giant_ribs,1,1,1,Mistlands,Everything,TRUE,0,TRUE,TRUE,FALSE,0,0,0,0,1,1,FALSE,1,2,1,1000,0,0,2,10,0.3,1,0,0,10,1,1,FALSE,FALSE,5
vfx_mistlands_mist,1,1,1,Mistlands,Edge,FALSE,0,FALSE,FALSE,TRUE,0,0,0,0,1,1,FALSE,4,4,1,1000,0,0,6,99,0.2,1,0,0,0,1,1,FALSE,FALSE,0
YggdrasilRoot,1,1,1,Mistlands,Everything,TRUE,0,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,2,4,1,1000,0,0,6,45,0.2,1,0,0,0,1.5,1,FALSE,FALSE,5
YggaShoot1,1,1,1,Mistlands,Everything,FALSE,0.1,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,2,2,1,1000,0,0,99,80,0,0.2,3,0,5,1.2,0.9,TRUE,FALSE,3
YggaShoot2,1,1,1,Mistlands,Everything,FALSE,0.1,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,2,2,1,1000,0,0,99,80,0,0.2,3,0,5,1.2,0.9,TRUE,FALSE,3
YggaShoot3,1,1,1,Mistlands,Everything,FALSE,0.1,TRUE,FALSE,FALSE,0,0,0,0,1,1,FALSE,2,2,1,1000,0,0,99,80,0,0.2,3,0,5,1.2,0.9,TRUE,FALSE,3
YggaShoot1,1,1,1,Mistlands,Everything,FALSE,0.1,TRUE,FALSE,FALSE,4,1,0,0,1,1,TRUE,3,3,1,1000,0,0,0,45,0.1,1,0,0,5,0.9,0.8,TRUE,FALSE,0
YggaShoot2,1,1,1,Mistlands,Everything,FALSE,0.1,TRUE,FALSE,FALSE,4,1,0,0,1,1,TRUE,3,3,1,1000,0,0,0,45,0.1,1,0,0,5,0.9,0.8,TRUE,FALSE,0
YggaShoot3,1,1,1,Mistlands,Everything,FALSE,0.1,TRUE,FALSE,FALSE,4,1,0,0,1,1,TRUE,3,3,1,1000,0,0,0,45,0.1,1,0,0,5,0.9,0.8,TRUE,FALSE,0
YggaShoot_small1,1,1,1,Mistlands,Everything,FALSE,0.1,TRUE,FALSE,FALSE,1,0,0,0,1,1,FALSE,6,6,1,1000,0,0,0,45,0,0.2,0,0,5,2,1,TRUE,FALSE,0
YggaShoot_small1,1,1,1,Mistlands,Everything,FALSE,0.1,TRUE,FALSE,FALSE,4,1,0,0,1,1,TRUE,40,40,1,1000,0,0,0,45,0.1,2,0,0,5,2,1,TRUE,FALSE,0
RaspberryBush,1,1,1,Mistlands,Everything,TRUE,1,FALSE,FALSE,FALSE,0,0,0,5,6,3,FALSE,2,4,1,1000,0,0,0,60,0.1,2,0,0,0,1,1,FALSE,FALSE,0
Pickable_Mushroom_Magecap,1,1,1,Mistlands,Everything,FALSE,1,TRUE,FALSE,FALSE,0,0,0,5,3,1,FALSE,2,2,1,2000,0,0,0,60,0,0.15,0,0,0,1,1,TRUE,FALSE,0
Pickable_Mushroom_JotunPuffs,1,1,1,Mistlands,Everything,TRUE,1,TRUE,FALSE,FALSE,0,0,0,5,3,1,FALSE,1,2,1,1000,0,0,0,60,0.1,1,0,0,0,1,1,FALSE,FALSE,0
